School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Math,6,5510,Riverside,26.0,38.0,68.4,60.1 - 70%,"330 Pleasant St
Carson, Iowa 51525
(41.237457777, -95.419260079)"
2011,Reading,4,4644,Newell-Fonda,17.0,24.0,70.8,70.1 - 80%,"205 Clark St
Newell, Iowa 505680297
(42.607244068, -94.998482383)"
2011,Math,4,2097,English Valleys,35.0,39.0,89.7,80.1 - 90%,"211 S College Street
North English, Iowa 52316
(41.513765134, -92.080480579)"
2011,Math,4,5510,Riverside,26.0,38.0,68.4,60.1 - 70%,"330 Pleasant St
Carson, Iowa 51525
(41.237457777, -95.419260079)"
2011,Math,5,4068,Marcus-Meriden-Cleghorn,21.0,24.0,87.5,80.1 - 90%,"400 East Fenton
Marcus, Iowa 51035
(42.819017914, -95.804163971)"
2011,Math,7,981,Carlisle,122.0,151.0,80.8,80.1 - 90%,"430 School St
Carlisle, Iowa 50047
(41.498433476, -93.490462462)"
2011,Reading,3,6987,West Monona,39.0,45.0,86.7,80.1 - 90%,"1314 15th St
Onawa, Iowa 51040
(42.022885843, -96.103813924)"
2011,Math,3,657,Eddyville-Blakesburg,29.0,44.0,65.9,60.1 - 70%,"222 Walnut
Eddyville, Iowa 52553
(41.1565658, -92.637079862)"
2011,Math,6,6561,United,10.0,13.0,76.9,70.1 - 80%,"1284 U Ave
Boone, Iowa 500360589
(42.024939033, -93.776725302)"
2011,Reading,3,4905,Olin,9.0,11.0,81.8,80.1 - 90%,"212 Trilby St
Olin, Iowa 52320
(41.994913200001, -91.140009255)"
2011,Math,8,2772,Hamburg,8.0,15.0,53.3,50.1 - 60%,"105 E St
Hamburg, Iowa 51640
(40.604677609, -95.659705573)"
2011,Math,8,1082,Central Clinton,73.0,92.0,79.4,70.1 - 80%,"331 E. 8th St
De Witt, Iowa 527420110
(41.823411881, -90.528412296)"
2011,Math,3,171,Alta,31.0,43.0,72.1,70.1 - 80%,"101 W 5th St
Alta, Iowa 51002
(42.670511869, -95.304289487)"
2011,Reading,3,918,Calamus-Wheatland,26.0,31.0,83.9,80.1 - 90%,"110 E Park Rd
Wheatland, Iowa 52777
(41.836840627, -90.839888435)"
2011,Reading,3,2834,Harmony,20.0,24.0,83.3,80.1 - 90%,"602 Eighth Street
Bonaparte, Iowa 52620
(40.704120087, -91.800954708)"
2011,Reading,6,4271,Mid-Prairie,65.0,90.0,72.2,70.1 - 80%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.467262682, -91.827416777)"
2011,Reading,11,1953,Earlham,36.0,48.0,75.0,70.1 - 80%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.495707827001, -94.12303199)"
2011,Reading,8,4518,Moulton-Udell,7.0,11.0,63.6,60.1 - 70%,"305 E 8th
Moulton, Iowa 52572
(40.68897702, -92.675134563)"
2011,Reading,6,2826,Harlan,95.0,113.0,84.1,80.1 - 90%,"2102 Durant
Harlan, Iowa 51537
(41.656723593, -95.337794249)"
2011,Math,5,243,Andrew,14.0,17.0,82.4,80.1 - 90%,"13 S Marion
Andrew, Iowa 52030
(42.152732903, -90.591248222)"
2011,Math,7,5949,Sheldon,48.0,54.0,88.9,80.1 - 90%,"1700 East Fourth Street
Sheldon, Iowa 51201
(43.184700136, -95.83483316)"
2011,Reading,3,2709,Grinnell-Newburg,98.0,110.0,89.1,80.1 - 90%,"927 4th Ave
Grinnell, Iowa 50112
(41.743268012001, -92.722920631)"
2011,Reading,8,4890,Okoboji,51.0,58.0,87.9,80.1 - 90%,"1205 7th St
Milford, Iowa 51351
(43.321807506, -95.152847312)"
