School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2005,Math,4,4572,Murray,18.0,23.0,78.3,70.1 - 80%,"216 Sherman
Murray, Iowa 501740187
(41.039881776, -93.953647488)"
2005,Math,8,6091,Southern Cal,36.0,51.0,70.6,70.1 - 80%,"709 W Main St
Lake City, Iowa 51449
(42.267315878, -94.741237078)"
2005,Math,11,2766,H-L-V,20.0,26.0,76.9,70.1 - 80%,"402 5th St
Victor, Iowa 52347
(41.729652987, -92.293241156)"
2005,Math,8,5486,Remsen-Union,19.0,27.0,70.4,70.1 - 80%,"511 Roosevelt St
Remsen, Iowa 51050
(42.808784214, -95.96593844)"
2005,Reading,11,4518,Moulton-Udell,15.0,17.0,88.2,80.1 - 90%,"305 E 8th
Moulton, Iowa 52572
(40.68897702, -92.675134563)"
2005,Math,4,3375,Knoxville,108.0,121.0,89.3,80.1 - 90%,"309 W Main
Knoxville, Iowa 50138
(41.318957616, -93.101166501)"
2005,Math,11,135,Allamakee,87.0,106.0,82.1,80.1 - 90%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.271898976001, -91.490592704)"
2005,Reading,4,936,Camanche,48.0,71.0,67.6,60.1 - 70%,"702 13th Ave
Camanche, Iowa 527301772
(41.78497779, -90.25908233)"
2005,Math,11,3204,Jesup,49.0,66.0,74.2,70.1 - 80%,"531 Prospect
Jesup, Iowa 506480287
(42.479597359, -92.064678773)"
2005,Reading,4,1675,Delwood,16.0,20.0,80.0,70.1 - 80%,"311 Delmar Ave
Delmar, Iowa 52037
(42.003439992, -90.605912868)"
2005,Math,8,4086,Marion,134.0,157.0,85.4,80.1 - 90%,"777 S 15th St
Marion, Iowa 52302
(42.022971748, -91.593793919)"
2005,Math,4,6854,Wayne,26.0,39.0,66.7,60.1 - 70%,"102 N Dekalb Street
Corydon, Iowa 50060
(40.757883329, -93.320404615)"
2005,Reading,11,1701,Denison,125.0,174.0,71.8,70.1 - 80%,"819 N 16th St
Denison, Iowa 51442
(42.026357151, -95.348689731)"
2005,Math,8,3154,Iowa Valley,41.0,55.0,74.5,70.1 - 80%,"359 E Hilton St
Marengo, Iowa 52301
(41.798598129, -92.066585859)"
2005,Reading,4,621,Bettendorf,231.0,278.0,83.1,80.1 - 90%,"3311 18th Street
Bettendorf, Iowa 52722
(41.556463541, -90.498771292)"
2005,Math,11,5301,Pomeroy-Palmer,23.0,25.0,92.0,90.1 - 100%,"202 E Harrison St
Pomeroy , Iowa 50575
(42.545709217, -94.682604485)"
2005,Math,4,977,Cardinal,19.0,30.0,63.3,60.1 - 70%,"4045 Ashland Rd
Eldon, Iowa 52554
(40.960448077, -92.237423973)"
2005,Math,8,6100,South Winneshiek,22.0,32.0,68.8,60.1 - 70%,"304 S Webster St
Calmar, Iowa 52132
(43.180778347, -91.86743264)"
2005,Reading,4,5325,Prairie Valley,51.0,54.0,94.4,90.1 - 100%,"1005 Riddle St
Gowrie, Iowa 505430049
(42.279828039, -94.294697555)"
2005,Math,8,918,Calamus-Wheatland,32.0,36.0,88.9,80.1 - 90%,"110 E Park Rd
Wheatland, Iowa 52777
(41.836840627, -90.839888435)"
2005,Math,4,252,Anita,16.0,18.0,88.9,80.1 - 90%,"1000 Victory Park Rd
Anita, Iowa 50020
(41.451176085001, -94.77242925)"
2005,Math,4,1989,Edgewood-Colesburg,35.0,39.0,89.7,80.1 - 90%,"403 W Union
Edgewood, Iowa 52042
(42.644465473, -91.404854771)"
2005,Reading,11,5163,Pekin,32.0,48.0,66.7,60.1 - 70%,"1062 Birch Ave
Packwood, Iowa 525808542
(41.153002366, -92.159172999)"
2005,Reading,4,387,Atlantic,78.0,102.0,76.5,70.1 - 80%,"1100 Linn St
Atlantic, Iowa 50022
(41.399920295, -95.007494477)"
2005,Reading,4,6921,West Bend-Mallard,18.0,18.0,100.0,90.1 - 100%,"300 3rd Ave. SW
West Bend, Iowa 505970247
(42.957771774, -94.448870272)"
2005,Math,4,3841,Louisa-Muscatine,45.0,60.0,75.0,70.1 - 80%,"14478 170th St
Letts, Iowa 52754
(41.305574252001, -91.203933542)"
2005,Reading,11,4860,Odebolt-Arthur,28.0,37.0,75.7,70.1 - 80%,"600 S. Maple
Odebolt, Iowa 514580475
(42.310292609001, -95.251885669)"
2005,Reading,8,4599,Nashua-Plainfield,45.0,58.0,77.6,70.1 - 80%,"612 Greeley St
Nashua, Iowa 50658
(42.94908945, -92.540077705)"
2005,Math,8,1062,Center Point-Urbana,74.0,91.0,81.3,80.1 - 90%,"102 Trader
Center Point, Iowa 522130296
(42.187011739, -91.784729321)"
2005,Reading,11,6512,Twin Cedars,30.0,43.0,69.8,60.1 - 70%,"2204 Highway G71
Bussey, Iowa 50044
(41.219053532, -92.926871056)"
2005,Math,11,423,Aurelia,32.0,37.0,86.5,80.1 - 90%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202, -95.429734234)"
2005,Math,4,1215,Clarksville,20.0,24.0,83.3,80.1 - 90%,"318 N Mather
Clarksville, Iowa 506190689
(42.787370153, -92.666493391)"
2005,Reading,11,2673,Nodaway Valley,42.0,51.0,82.4,80.1 - 90%,"410 NW 2nd
Greenfield, Iowa 50849
(41.308043141001, -94.462689109)"
2005,Math,4,2124,Estherville Lincoln Central,55.0,77.0,71.4,70.1 - 80%,"1814 7th Ave S
Estherville, Iowa 51334
(43.395142349, -94.817770124)"
2005,Math,4,3033,Hubbard-Radcliffe,21.0,25.0,84.0,80.1 - 90%,"200 Chestnut
Hubbard, Iowa 50122
(42.304392476, -93.301573303)"
2005,Math,11,234,Anamosa,80.0,96.0,83.3,80.1 - 90%,"200 South Garnavillo St.
Anamosa, Iowa 52205
(42.106223203, -91.286826145)"
2005,Math,8,1337,College,226.0,287.0,78.7,70.1 - 80%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2005,Reading,8,2826,Harlan,127.0,144.0,88.2,80.1 - 90%,"2102 Durant
Harlan, Iowa 51537
(41.656723593, -95.337794249)"
2005,Reading,4,7002,Whiting,12.0,12.0,100.0,90.1 - 100%,"606 West St
Whiting, Iowa 51063
(42.127623791, -96.155641786)"
