School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2009,Reading,4,4271,Mid-Prairie,70.0,86.0,81.4,80.1 - 90%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.467262682, -91.827416777)"
2009,Reading,5,6921,West Bend-Mallard,26.0,28.0,92.9,90.1 - 100%,"300 3rd Ave. SW
West Bend, Iowa 505970247
(42.957771774, -94.448870272)"
2009,Math,8,1611,Davenport,623.0,930.0,67.0,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2009,Reading,4,1359,Colo-Nesco,33.0,35.0,94.3,90.1 - 100%,"919 West St.
Colo, Iowa 50056
(42.011418972, -93.319132584)"
2009,Math,4,4751,Nishna Valley,15.0,15.0,100.0,90.1 - 100%,"58962 380th St
Hastings, Iowa 51540
(41.032449558, -95.460757204)"
2009,Math,5,720,Bondurant-Farrar,78.0,95.0,82.1,80.1 - 90%,"300 Garfield St. SW
Bondurant, Iowa 50035
(41.699149446, -93.464627151)"
2009,Math,7,6453,Treynor,47.0,53.0,88.7,80.1 - 90%,"102 E Main St
Treynor, Iowa 515750369
(41.232413088001, -95.608719407)"
2009,Math,11,6512,Twin Cedars,24.0,30.0,80.0,70.1 - 80%,"2204 Highway G71
Bussey, Iowa 50044
(41.219053532, -92.926871056)"
2009,Reading,4,6534,Underwood,51.0,56.0,91.1,90.1 - 100%,"601 Third Street
Underwood, Iowa 515760130
(41.387093094, -95.68317064)"
2009,Reading,7,6039,Sioux City,569.0,911.0,62.5,60.1 - 70%,"627 4th St
Sioux City, Iowa 51101
(42.494227355, -96.402180665)"
2009,Math,11,2664,Greene,38.0,48.0,79.2,70.1 - 80%,"201 N 5th St
Greene, Iowa 506360190
(42.899145, -92.798944546)"
2009,Reading,5,5486,Remsen-Union,22.0,29.0,75.9,70.1 - 80%,"511 Roosevelt St
Remsen, Iowa 51050
(42.808784214, -95.96593844)"
2009,Math,11,6408,Tipton,53.0,66.0,80.3,80.1 - 90%,"400 E 6th St
Tipton, Iowa 52772
(41.769111389001, -91.119193238)"
2009,Math,6,6961,Western Dubuque,161.0,191.0,84.3,80.1 - 90%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2009,Reading,5,609,Benton,81.0,97.0,83.5,80.1 - 90%,"304 1st St
Van Horne, Iowa 52346
(42.010130719, -92.085777924)"
2009,Reading,3,2376,Galva-Holstein,28.0,32.0,87.5,80.1 - 90%,"519 E Maple
Holstein, Iowa 51025
(42.487382109, -95.541362025)"
2009,Math,8,6003,Sidney,24.0,25.0,96.0,90.1 - 100%,"2754 Knox Road
Sidney, Iowa 516520609
(40.743255674, -95.660253541)"
2009,Reading,3,4785,North Tama County,31.0,36.0,86.1,80.1 - 90%,"605 Walnut
Traer, Iowa 50675
(42.18821933, -92.467693666)"
2009,Reading,7,4869,Oelwein,60.0,82.0,73.2,70.1 - 80%,"307 8th Ave SE
Oelwein, Iowa 50662
(42.673945759001, -91.902587991)"
2009,Math,8,1082,Central Clinton,82.0,98.0,83.7,80.1 - 90%,"331 E. 8th St
De Witt, Iowa 527420110
(41.823411881, -90.528412296)"
2009,Math,6,2502,Gladbrook-Reinbeck,35.0,46.0,76.1,70.1 - 80%,"300 Cedar Street
Reinbeck, Iowa 50669
(42.318498668, -92.599634434)"
2009,Reading,11,6100,South Winneshiek,58.0,69.0,84.1,80.1 - 90%,"304 S Webster St
Calmar, Iowa 52132
(43.180778347, -91.86743264)"
