School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2014,Reading,5,3029,Howard-Winneshiek,37.0,61.0,60.7,60.1 - 70%,"1000 Schroder Dr
Cresco, Iowa 52136
(43.373466402, -92.102994733)"
2014,Math,8,27,Adel-DeSoto-Minburn,109.0,120.0,90.8,90.1 - 100%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858, -94.01677179)"
2014,Math,6,355,Ar-We-Va,11.0,12.0,91.7,90.1 - 100%,"108 Clinton St
Westside, Iowa 51467
(42.075192007, -95.100777451)"
2014,Reading,3,6460,Tri-Center,41.0,44.0,93.2,90.1 - 100%,"33980 310th Street
Neola, Iowa 515595183
(41.504274393, -95.594185677)"
2014,Math,4,4068,Marcus-Meriden-Cleghorn,24.0,28.0,85.7,80.1 - 90%,"400 East Fenton
Marcus, Iowa 51035
(42.819017914, -95.804163971)"
2014,Math,5,4772,Central Springs,31.0,33.0,93.9,90.1 - 100%,"105 S East St
Manly, Iowa 50456
(43.286787397, -93.19762046)"
2014,Reading,5,2403,Garner-Hayfield,40.0,54.0,74.1,70.1 - 80%,"605 Lyon Street
Garner, Iowa 504380449
(43.090488817, -93.610079275)"
2014,Math,8,1611,Davenport,649.0,1026.0,63.3,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2014,Math,10,1278,Clinton,213.0,258.0,82.6,80.1 - 90%,"1401 12th Ave N
Clinton, Iowa 52732
(41.858445401, -90.219388304)"
2014,Math,11,225,Ames,272.0,297.0,91.6,90.1 - 100%,"415 Stanton Ave
Ames, Iowa 50014
(42.017921297001, -93.648547461)"
2014,Math,10,1503,Creston,103.0,117.0,88.0,80.1 - 90%,"801 N. Elm Street
Creston, Iowa 50801
(41.066193306, -94.363810291)"
2014,Math,4,3312,Keokuk,89.0,111.0,80.2,80.1 - 90%,"1721 Fulton St
Keokuk, Iowa 52632
(40.408591789, -91.388112888)"
