School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2013,Math,3,4784,North Scott,169.0,190.0,89.0,80.1 - 90%,"251 E Iowa St
Eldridge, Iowa 52748
(41.652613393, -90.580280251)"
2013,Math,4,6408,Tipton,56.0,74.0,75.7,70.1 - 80%,"400 E 6th St
Tipton, Iowa 52772
(41.769111389001, -91.119193238)"
2013,Math,4,1989,Edgewood-Colesburg,25.0,38.0,65.8,60.1 - 70%,"403 W Union
Edgewood, Iowa 52042
(42.644465473, -91.404854771)"
2013,Reading,6,4869,Oelwein,39.0,72.0,54.2,50.1 - 60%,"307 8th Ave SE
Oelwein, Iowa 50662
(42.673945759001, -91.902587991)"
2013,Math,7,3105,Independence,82.0,101.0,81.2,80.1 - 90%,"1207 1st St W
Independence, Iowa 50644
(42.468517757, -91.907844879)"
2013,Reading,7,7110,Woodward-Granger,31.0,48.0,64.6,60.1 - 70%,"306 W 3rd St
Woodward, Iowa 50276
(41.855671951, -93.925557162)"
2013,Math,7,1602,Danville,29.0,35.0,82.9,80.1 - 90%,"419 S Main
Danville, Iowa 52623
(40.860760597, -91.314672134)"
2013,Math,8,1619,Davis County,79.0,92.0,85.9,80.1 - 90%,"608 S. Washington
Bloomfield, Iowa 52537
(40.744092296, -92.412623125)"
2013,Reading,4,6937,West Burlington,44.0,54.0,81.5,80.1 - 90%,"607 Ramsey St
West Burlington, Iowa 52655
(40.820228036, -91.159167305)"
2013,Math,5,5013,Oskaloosa,114.0,154.0,74.0,70.1 - 80%,"1800 North 3rd
Oskaloosa, Iowa 52577
(41.309644142, -92.641504171)"
2013,Math,7,1221,Clear Creek Amana,78.0,103.0,75.7,70.1 - 80%,"327 South Augusta Ave
Oxford, Iowa 52322
(41.720666113, -91.790732011)"
2013,Reading,3,3060,Humboldt,59.0,74.0,79.7,70.1 - 80%,"23 3rd St N
Dakota City, Iowa 50529
(42.721842191, -94.204233062)"
2013,Math,4,4068,Marcus-Meriden-Cleghorn,20.0,26.0,76.9,70.1 - 80%,"400 East Fenton
Marcus, Iowa 51035
(42.819017914, -95.804163971)"
2013,Reading,4,6985,West Marshall,47.0,69.0,68.1,60.1 - 70%,"601 3rd St. NW
State Center, Iowa 502470670
(42.018512416, -93.170507544)"
2013,Reading,7,2151,Exira,13.0,25.0,52.0,50.1 - 60%,"105 East School Street
Exira, Iowa 500760335
(41.58636295, -94.874560332)"
2013,Math,7,5256,Pleasantville,45.0,58.0,77.6,70.1 - 80%,"415 Jones St
Pleasantville, Iowa 50225
(41.388307599, -93.273741299)"
2013,Reading,4,135,Allamakee,74.0,95.0,77.9,70.1 - 80%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.271898976001, -91.490592704)"
2013,Math,5,6615,Van Meter,47.0,51.0,92.2,90.1 - 100%,"520 1st Ave
Van Meter, Iowa 50261
(41.529258443, -93.953005731)"
2013,Math,4,6561,United,19.0,24.0,79.2,70.1 - 80%,"1284 U Ave
Boone, Iowa 500360589
(42.024939033, -93.776725302)"
2013,Reading,6,6094,Southeast Warren,24.0,34.0,70.6,70.1 - 80%,"16331 Tyler St
Liberty Center, Iowa 50145
(41.204647638, -93.506953573)"
2013,Reading,5,135,Allamakee,49.0,60.0,81.7,80.1 - 90%,"1059 3rd Ave NW
Waukon, Iowa 52172
(43.271898976001, -91.490592704)"
2013,Reading,5,1503,Creston,52.0,80.0,65.0,60.1 - 70%,"801 N. Elm Street
Creston, Iowa 50801
(41.066193306, -94.363810291)"
2013,Math,11,2673,Nodaway Valley,34.0,41.0,82.9,80.1 - 90%,"410 NW 2nd
Greenfield, Iowa 50849
(41.308043141001, -94.462689109)"
2013,Math,11,873,North Iowa,30.0,38.0,79.0,70.1 - 80%,"111 3rd Ave NW
Buffalo Center, Iowa 50424
(43.388056968, -93.945080272)"
2013,Math,11,5805,Saydel,60.0,89.0,67.4,60.1 - 70%,"5740 N E 14th Street
Des Moines, Iowa 50313
(41.664949721, -93.600627517)"
2013,Math,7,6961,Western Dubuque,196.0,229.0,85.6,80.1 - 90%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2013,Math,8,3555,Lawton-Bronson,40.0,47.0,85.1,80.1 - 90%,"100 Tara Way
Lawton, Iowa 510300128
(42.477274402, -96.174799726)"
2013,Reading,7,225,Ames,225.0,278.0,80.9,80.1 - 90%,"415 Stanton Ave
Ames, Iowa 50014
(42.017921297001, -93.648547461)"
2013,Reading,6,5724,Ruthven-Ayrshire,5.0,14.0,35.7,30.1 - 40%,"1505 Washington St
Ruthven, Iowa 51358
(43.131108351, -94.899973418)"
2013,Math,5,243,Andrew,17.0,21.0,81.0,80.1 - 90%,"13 S Marion
Andrew, Iowa 52030
(42.152732903, -90.591248222)"
2013,Reading,4,6921,West Bend-Mallard,21.0,29.0,72.4,70.1 - 80%,"300 3rd Ave. SW
West Bend, Iowa 505970247
(42.957771774, -94.448870272)"
2013,Reading,4,585,Bellevue,33.0,36.0,91.7,90.1 - 100%,"1601 State St
Bellevue, Iowa 520310976
(42.253924855, -90.441917063)"
2013,Math,3,540,BCLUW,37.0,42.0,88.1,80.1 - 90%,"610 East Center Street
Conrad, Iowa 50621
(42.224547032, -92.867233301)"
2013,Reading,4,2007,Eldora-New Providence,41.0,48.0,85.4,80.1 - 90%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.360687111, -93.096201173)"
2013,Reading,5,5643,Roland-Story,53.0,65.0,81.5,80.1 - 90%,"1009 Story St
Story City, Iowa 50248
(42.188027095, -93.588865664)"
2013,Reading,4,4122,Martensdale-St Marys,33.0,38.0,86.8,80.1 - 90%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559, -93.735495715)"
2013,Math,8,5325,Prairie Valley,47.0,56.0,83.9,80.1 - 90%,"1005 Riddle St
Gowrie, Iowa 505430049
(42.279828039, -94.294697555)"
2013,Math,6,1233,Clear Lake,69.0,85.0,81.2,80.1 - 90%,"1529 3rd Avenue North
Clear Lake, Iowa 50428
(43.139871691, -93.3698995)"
2013,Math,3,2457,George-Little Rock,12.0,24.0,50.0,40.1 - 50%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2013,Math,4,3150,Iowa Falls,56.0,73.0,76.7,70.1 - 80%,"710 North Street
Iowa Falls, Iowa 50126
(42.528606835, -93.265910391)"
2013,Math,11,6471,Tripoli,21.0,27.0,77.8,70.1 - 80%,"209 8th Ave SW
Tripoli, Iowa 506769662
(42.801523631, -92.260465)"
2013,Math,7,4725,Newton,152.0,210.0,72.4,70.1 - 80%,"700 N 4th Ave E Suite300
Newton, Iowa 50208
(41.70279757, -93.04416067)"
2013,Math,8,936,Camanche,50.0,73.0,68.5,60.1 - 70%,"702 13th Ave
Camanche, Iowa 527301772
(41.78497779, -90.25908233)"
2013,Math,3,6990,West Sioux,36.0,45.0,80.0,70.1 - 80%,"1300 Falcon Drive
Hawarden, Iowa 51023
(43.000411157, -96.473901123)"
2013,Math,11,5510,Riverside,43.0,47.0,91.5,90.1 - 100%,"330 Pleasant St
Carson, Iowa 51525
(41.237457777, -95.419260079)"
2013,Reading,7,6165,Stanton,5.0,10.0,50.0,40.1 - 50%,"605 Elliott Street
Stanton, Iowa 51573
(40.984178043001, -95.100395388)"
2013,Math,11,2466,Gilbert,73.0,79.0,92.4,90.1 - 100%,"103 Mathews Dr
Gilbert, Iowa 50105
(42.106768816, -93.641641893)"
2013,Math,6,27,Adel-DeSoto-Minburn,92.0,110.0,83.6,80.1 - 90%,"801 Nile Kinnick Dr S
Adel, Iowa 50003
(41.610227858, -94.01677179)"
2013,Math,7,2682,GMG,27.0,29.0,93.1,90.1 - 100%,"306 Park Street
Garwin, Iowa 506329730
(42.094686311, -92.674180263)"
2013,Math,6,6950,West Delaware County,66.0,95.0,69.5,60.1 - 70%,"701 New St
Manchester, Iowa 52057
(42.489203326, -91.453748627)"
2013,Reading,11,2781,Hampton-Dumont,58.0,72.0,80.6,80.1 - 90%,"601 - 12th Avenue NE
Hampton, Iowa 50441
(42.752611573, -93.198421245)"
2013,Reading,4,1337,College,259.0,355.0,73.0,70.1 - 80%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2013,Reading,5,5310,Postville,22.0,36.0,61.1,60.1 - 70%,"314 W Post
Postville, Iowa 521620717
(43.083446813, -91.572598014)"
2013,Math,4,2151,Exira,13.0,22.0,59.1,50.1 - 60%,"105 East School Street
Exira, Iowa 500760335
(41.58636295, -94.874560332)"
2013,Reading,3,6102,Spencer,107.0,130.0,82.3,80.1 - 90%,"23 E 7th St
Spencer, Iowa 51301
(43.143656843, -95.143708014)"
2013,Math,3,3141,Iowa City,688.0,919.0,74.9,70.1 - 80%,"1725 N. Dodge Street
Iowa City, Iowa 52245
(41.680405278, -91.509737266)"
2013,Reading,11,99,Alburnett,45.0,50.0,90.0,80.1 - 90%,"131 Roosevelt Street
Alburnett, Iowa 52202
(42.1494969, -91.619989894)"
2013,Reading,8,882,Burlington,140.0,239.0,58.6,50.1 - 60%,"1429 West Ave
Burlington, Iowa 52601
(40.799648151001, -91.115081638)"
2013,Math,5,540,BCLUW,31.0,36.0,86.1,80.1 - 90%,"610 East Center Street
Conrad, Iowa 50621
(42.224547032, -92.867233301)"
2013,Math,5,6992,Westwood,31.0,38.0,81.6,80.1 - 90%,"1000 Rebel Way
Sloan, Iowa 51055
(42.228917062, -96.217814827)"
2013,Math,5,7092,Woodbine,20.0,24.0,83.3,80.1 - 90%,"501 Weare St
Woodbine, Iowa 51579
(41.737231207, -95.706557351)"
2013,Math,6,4509,Morning Sun,9.0,13.0,69.2,60.1 - 70%,"311 Division Street
Morning Sun, Iowa 52640
(41.095866365, -91.2511513)"
2013,Math,11,5949,Sheldon,60.0,72.0,83.3,80.1 - 90%,"1700 East Fourth Street
Sheldon, Iowa 51201
(43.184700136, -95.83483316)"
2013,Math,3,1062,Center Point-Urbana,96.0,111.0,86.5,80.1 - 90%,"102 Trader
Center Point, Iowa 522130296
(42.187011739, -91.784729321)"
2013,Reading,6,3978,East Mills,17.0,33.0,51.5,50.1 - 60%,"58962 380th Steet
Hastings, Iowa 51540
(41.032449558, -95.460757204)"
2013,Reading,7,594,Belmond-Klemme,32.0,54.0,59.3,50.1 - 60%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.848954097001, -93.603450386)"
2013,Reading,6,7098,Woodbury Central,42.0,49.0,85.7,80.1 - 90%,"408 South 4th Street
Moville, Iowa 51039
(42.484313339, -96.06924212)"
2013,Math,5,2097,English Valleys,22.0,27.0,81.5,80.1 - 90%,"211 S College Street
North English, Iowa 52316
(41.513765134, -92.080480579)"
