School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2012,Math,3,981,Carlisle,105.0,122.0,86.1,80.1 - 90%,"430 School St
Carlisle, Iowa 50047
(41.498433476, -93.490462462)"
2012,Reading,11,2007,Eldora-New Providence,58.0,69.0,84.1,80.1 - 90%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.360687111, -93.096201173)"
2012,Reading,8,5463,Red Oak,49.0,75.0,65.3,60.1 - 70%,"2011 North 8th
Red Oak, Iowa 51566
(41.021899053, -95.223325144)"
2012,Math,6,3168,IKM-Manning,32.0,42.0,76.2,70.1 - 80%,"755 Main Street
Manilla, Iowa 514540580
(41.889708051, -95.228760239)"
2012,Math,3,3204,Jesup,56.0,66.0,84.8,80.1 - 90%,"531 Prospect
Jesup, Iowa 506480287
(42.479597359, -92.064678773)"
2012,Math,3,4772,Central Springs,34.0,38.0,89.5,80.1 - 90%,"105 S East St
Manly, Iowa 50456
(43.286787397, -93.19762046)"
2012,Math,8,621,Bettendorf,274.0,342.0,80.1,80.1 - 90%,"3311 18th Street
Bettendorf, Iowa 52722
(41.556463541, -90.498771292)"
2012,Math,11,916,CAL,14.0,16.0,87.5,80.1 - 90%,"1441 Gull Ave
Latimer, Iowa 50452
(42.750819774, -93.370002921)"
2012,Reading,3,5139,Paton-Churdan,9.0,11.0,81.8,80.1 - 90%,"606 Adrian St
Churdan, Iowa 500500157
(42.15890722, -94.47660096)"
2012,Math,3,3195,Jefferson-Scranton,60.0,72.0,83.3,80.1 - 90%,"204 W Madison Ave
Jefferson, Iowa 50129
(42.012317749, -94.377120273)"
2012,Reading,6,1602,Danville,24.0,32.0,75.0,70.1 - 80%,"419 S Main
Danville, Iowa 52623
(40.860760597, -91.314672134)"
2012,Math,6,2766,H-L-V,12.0,19.0,63.2,60.1 - 70%,"402 5th St
Victor, Iowa 52347
(41.729652987, -92.293241156)"
2012,Math,6,6039,Sioux City,539.0,918.0,58.7,50.1 - 60%,"627 4th St
Sioux City, Iowa 51101
(42.494227355, -96.402180665)"
2012,Math,7,7047,Winfield-Mt Union,27.0,37.0,73.0,70.1 - 80%,"208 S Olive
Winfield, Iowa 526590285
(41.126881357, -91.439346674)"
2012,Math,5,4581,Muscatine,271.0,347.0,78.1,70.1 - 80%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.443603299, -91.067961636)"
2012,Math,7,6099,South O'Brien,33.0,40.0,82.5,80.1 - 90%,"216 S Rutledge
Paullina, Iowa 510460638
(42.97754916, -95.689147054)"
