School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2003,Math,8,3420,Lake Mills,41.0,61.0,67.2,60.1 - 70%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
2003,Math,8,63,Akron Westfield,37.0,49.0,75.5,70.1 - 80%,"850 Kerr Dr
Akron, Iowa 51001
(42.832823680001, -96.55041296)"
2003,Math,4,4779,North Polk,61.0,68.0,89.7,80.1 - 90%,"13930 NE 6th St
Alleman, Iowa 50007
(41.805870727, -93.610359303)"
2003,Math,4,7047,Winfield-Mt Union,18.0,24.0,75.0,70.1 - 80%,"208 S Olive
Winfield, Iowa 526590285
(41.126881357, -91.439346674)"
2003,Reading,4,6961,Western Dubuque,147.0,177.0,83.1,80.1 - 90%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2003,Math,11,7110,Woodward-Granger,35.0,56.0,62.5,60.1 - 70%,"306 W 3rd St
Woodward, Iowa 50276
(41.855671951, -93.925557162)"
2003,Math,4,3978,Malvern,18.0,20.0,90.0,80.1 - 90%,"422 Main Street
Malvern, Iowa 51551
(41.0030802, -95.585124132)"
2003,Reading,11,3555,Lawton-Bronson,41.0,47.0,87.2,80.1 - 90%,"100 Tara Way
Lawton, Iowa 510300128
(42.477274402, -96.174799726)"
2003,Math,11,729,Boone,153.0,198.0,77.3,70.1 - 80%,"500 7th St
Boone, Iowa 50036
(42.06263502, -93.88660689)"
2003,Math,8,1215,Clarksville,18.0,26.0,69.2,60.1 - 70%,"318 N Mather
Clarksville, Iowa 506190689
(42.787370153, -92.666493391)"
2003,Math,4,2763,Guttenberg,27.0,35.0,77.1,70.1 - 80%,"131 S River Park Dr
Guttenberg, Iowa 520520520
(42.78584866, -91.097232817)"
2003,Math,4,2862,Hartley-Melvin-Sanborn,37.0,49.0,75.5,70.1 - 80%,"240 1st Street SE
Hartley, Iowa 51346
(43.179893337, -95.473519546)"
2003,Reading,4,4068,Marcus-Meriden-Cleghorn,27.0,38.0,71.1,70.1 - 80%,"400 East Fenton
Marcus, Iowa 51035
(42.819017914, -95.804163971)"
2003,Math,4,2088,Emmetsburg,31.0,40.0,77.5,70.1 - 80%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174, -94.691408595)"
2003,Reading,8,6579,Urbandale,197.0,251.0,78.5,70.1 - 80%,"11152 Aurora Avenue
Urbandale, Iowa 503227903
(41.637839566, -93.77152693)"
2003,Reading,4,4779,North Polk,58.0,68.0,85.3,80.1 - 90%,"13930 NE 6th St
Alleman, Iowa 50007
(41.805870727, -93.610359303)"
2003,Math,8,171,Alta,31.0,47.0,66.0,60.1 - 70%,"101 W 5th St
Alta, Iowa 51002
(42.670511869, -95.304289487)"
2003,Reading,4,4043,Maquoketa Valley,45.0,48.0,93.8,90.1 - 100%,"112 3rd Street
Delhi, Iowa 52223
(42.426189723, -91.33077292)"
2003,Reading,11,1701,Denison,103.0,131.0,78.6,70.1 - 80%,"819 N 16th St
Denison, Iowa 51442
(42.026357151, -95.348689731)"
2003,Reading,4,2466,Gilbert,48.0,51.0,94.1,90.1 - 100%,"103 Mathews Dr
Gilbert, Iowa 50105
(42.106768816, -93.641641893)"
2003,Math,11,4644,Newell-Fonda,34.0,44.0,77.3,70.1 - 80%,"205 Clark St
Newell, Iowa 505680297
(42.607244068, -94.998482383)"
2003,Reading,4,4271,Mid-Prairie,72.0,92.0,78.3,70.1 - 80%,"1635 Highway 22 E
Wellman, Iowa 523560150
(41.467262682, -91.827416777)"
2003,Math,8,6969,West Harrison,27.0,39.0,69.2,60.1 - 70%,"410 Pine St
Mondamin, Iowa 51557
(41.709263024, -96.0179304)"
2003,Reading,8,1503,Creston,75.0,111.0,67.6,60.1 - 70%,"801 N. Elm Street
Creston, Iowa 50801
(41.066193306, -94.363810291)"
2003,Math,8,846,Brooklyn-Guernsey-Malcom,28.0,43.0,65.1,60.1 - 70%,"1090 Jackson St
Brooklyn, Iowa 522119705
(41.73809081, -92.445467302)"
2003,Math,11,4023,Manson Northwest Webster,42.0,47.0,89.4,80.1 - 90%,"1016 Main Street
Manson, Iowa 505630387
(42.52976027, -94.534288056)"
2003,Reading,4,1233,Clear Lake,75.0,100.0,75.0,70.1 - 80%,"1529 3rd Avenue North
Clear Lake, Iowa 50428
(43.139871691, -93.3698995)"
2003,Math,8,5994,Sibley-Ocheyedan,62.0,77.0,80.5,80.1 - 90%,"120 11th Ave NE
Sibley, Iowa 51249
(43.404609745, -95.736403645)"
2003,Math,8,4437,Montezuma,46.0,67.0,68.7,60.1 - 70%,"504 N 4th St
Montezuma, Iowa 50171
(41.591280888, -92.5235874)"
2003,Reading,11,3691,North Cedar,43.0,71.0,60.6,60.1 - 70%,"102 E North Street
Stanwood, Iowa 523370247
(41.894378249, -91.152841019)"
2003,Math,11,6100,South Winneshiek,67.0,74.0,90.5,90.1 - 100%,"304 S Webster St
Calmar, Iowa 52132
(43.180778347, -91.86743264)"
2003,Reading,11,1611,Davenport,658.0,978.0,67.3,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2003,Reading,11,1737,Des Moines,1057.0,1469.0,72.0,70.1 - 80%,"901 Walnut Street
Des Moines, Iowa 50309
(41.584997496, -93.62919604)"
2003,Reading,11,4149,MOC-Floyd Valley,92.0,108.0,85.2,80.1 - 90%,"1301 8th St SE
Orange City, Iowa 51041
(42.997548276, -96.041486456)"
2003,Math,8,6219,Storm Lake,90.0,142.0,63.4,60.1 - 70%,"419 Lake Ave
Storm Lake, Iowa 505880638
(42.642078939001, -95.200823167)"
2003,Math,11,4617,Nevada,85.0,105.0,81.0,80.1 - 90%,"1035 15th St
Nevada, Iowa 50201
(42.020760519, -93.439933752)"
2003,Math,11,3195,Jefferson-Scranton,87.0,98.0,88.8,80.1 - 90%,"204 W Madison Ave
Jefferson, Iowa 50129
(42.012317749, -94.377120273)"
2003,Reading,4,585,Bellevue,38.0,42.0,90.5,90.1 - 100%,"1601 State St
Bellevue, Iowa 520310976
(42.253924855, -90.441917063)"
2003,Reading,8,9,AGWSR,42.0,49.0,85.7,80.1 - 90%,"511 State St
Ackley, Iowa 50601
(42.552016502, -93.051398954)"
2003,Math,4,585,Bellevue,38.0,42.0,90.5,90.1 - 100%,"1601 State St
Bellevue, Iowa 520310976
(42.253924855, -90.441917063)"
2003,Reading,8,6102,Spencer,120.0,160.0,75.0,70.1 - 80%,"23 E 7th St
Spencer, Iowa 51301
(43.143656843, -95.143708014)"
2003,Reading,8,6983,West Lyon,64.0,77.0,83.1,80.1 - 90%,"1787 182nd Street
Inwood, Iowa 51240
(43.302157276, -96.443976618)"
2003,Math,4,2097,English Valleys,27.0,32.0,84.4,80.1 - 90%,"211 S College Street
North English, Iowa 52316
(41.513765134, -92.080480579)"
2003,Math,8,4581,Muscatine,296.0,388.0,76.3,70.1 - 80%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.443603299, -91.067961636)"
2003,Math,11,1611,Davenport,657.0,978.0,67.2,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2003,Math,4,1647,Deep River-Millersburg,10.0,15.0,66.7,60.1 - 70%,"847 Washington St
Millersburg, Iowa 52308
(41.573841593, -92.16015881)"
2003,Math,4,4043,Maquoketa Valley,43.0,48.0,89.6,80.1 - 90%,"112 3rd Street
Delhi, Iowa 52223
(42.426189723, -91.33077292)"
2003,Math,11,4778,North Kossuth,37.0,45.0,82.2,80.1 - 90%,"203 5th Street North
Swea City, Iowa 50590
(43.383718628, -94.312397755)"
2003,Math,11,2457,George-Little Rock,35.0,41.0,85.4,80.1 - 90%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2003,Reading,4,6957,West Des Moines,542.0,632.0,85.8,80.1 - 90%,"3550 Mills Civic Parkway
West Des Moines, Iowa 50265
(41.567672939, -93.75682047)"
