School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2008,Math,8,3537,Laurens-Marathon,17.0,23.0,73.9,70.1 - 80%,"300 W. Garfield St.
Laurens, Iowa 50554
(42.851969775001, -94.851382616)"
2008,Math,3,5724,Ruthven-Ayrshire,19.0,21.0,90.5,90.1 - 100%,"1505 Washington St
Ruthven, Iowa 51358
(43.131108351, -94.899973418)"
2008,Math,11,6096,Southeast Webster Grand,36.0,46.0,78.3,70.1 - 80%,"30850 Paragon Ave.
Burnside, Iowa 505210049
(42.346984258, -94.106637381)"
2008,Reading,11,423,Aurelia,19.0,22.0,86.4,80.1 - 90%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202, -95.429734234)"
2008,Reading,6,1206,Clarion-Goldfield,57.0,68.0,83.8,80.1 - 90%,"319 3rd Ave NE
Clarion, Iowa 505251113
(42.734357124001, -93.735960712)"
2008,Math,5,5049,Ottumwa,242.0,313.0,77.3,70.1 - 80%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2008,Reading,8,1082,Central Clinton,71.0,92.0,77.2,70.1 - 80%,"331 E. 8th St
De Witt, Iowa 527420110
(41.823411881, -90.528412296)"
2008,Reading,6,4662,New Hampton,48.0,75.0,64.0,60.1 - 70%,"710 W Main
New Hampton, Iowa 506591004
(43.059463053, -92.325916354)"
2008,Reading,7,720,Bondurant-Farrar,48.0,73.0,65.8,60.1 - 70%,"300 Garfield St. SW
Bondurant, Iowa 50035
(41.699149446, -93.464627151)"
2008,Reading,3,5832,Schleswig,21.0,21.0,100.0,90.1 - 100%,"714 Date Street
Schleswig, Iowa 514610250
(42.164326117, -95.429039152)"
2008,Math,8,3204,Jesup,49.0,65.0,75.4,70.1 - 80%,"531 Prospect
Jesup, Iowa 506480287
(42.479597359, -92.064678773)"
2008,Math,5,4785,North Tama County,38.0,44.0,86.4,80.1 - 90%,"605 Walnut
Traer, Iowa 50675
(42.18821933, -92.467693666)"
