School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2004,Reading,8,5283,Pocahontas Area,52.0,74.0,70.3,70.1 - 80%,"202 1st Ave SW
Pocahontas, Iowa 50574
(42.731606628, -94.673350034)"
2004,Reading,11,4772,North Central,21.0,32.0,65.6,60.1 - 70%,"105 S East St
Manly, Iowa 50456
(43.286787397, -93.19762046)"
2004,Math,4,1975,River Valley,33.0,35.0,94.3,90.1 - 100%,"916 Hackberry St
Correctionville, Iowa 510160008
(42.479931109, -95.780794924)"
2004,Math,11,6408,Tipton,53.0,72.0,73.6,70.1 - 80%,"400 E 6th St
Tipton, Iowa 52772
(41.769111389001, -91.119193238)"
2004,Reading,8,2369,Fremont-Mills,19.0,32.0,59.4,50.1 - 60%,"1114 U.S. Highway 275
Tabor, Iowa 516530310
(40.897941323, -95.671335783)"
2004,Math,11,4784,North Scott,204.0,247.0,82.6,80.1 - 90%,"251 E Iowa St
Eldridge, Iowa 52748
(41.652613393, -90.580280251)"
2004,Reading,11,4797,Norwalk,124.0,150.0,82.7,80.1 - 90%,"380 Wright Road
Norwalk, Iowa 50211
(41.467942948, -93.683859138)"
2004,Math,11,1917,Boyer Valley,42.0,57.0,73.7,70.1 - 80%,"1102 Iowa Ave
Dunlap, Iowa 51529
(41.85431341, -95.594870132)"
2004,Math,8,3186,Janesville,18.0,19.0,94.7,90.1 - 100%,"505 Barrick Rd
Janesville, Iowa 50647
(42.649545181, -92.457859168)"
2004,Reading,4,1737,Des Moines,1465.0,2153.0,68.0,60.1 - 70%,"901 Walnut Street
Des Moines, Iowa 50309
(41.584997496, -93.62919604)"
2004,Math,4,846,Brooklyn-Guernsey-Malcom,33.0,39.0,84.6,80.1 - 90%,"1090 Jackson St
Brooklyn, Iowa 522119705
(41.73809081, -92.445467302)"
2004,Math,4,5868,Sentral,10.0,15.0,66.7,60.1 - 70%,"308 310th Street
Fenton, Iowa 50539
(43.212368179, -94.412563015)"
2004,Math,8,5949,Sheldon,70.0,84.0,83.3,80.1 - 90%,"1700 East Fourth Street
Sheldon, Iowa 51201
(43.184700136, -95.83483316)"
2004,Reading,11,6633,Ventura,26.0,30.0,86.7,80.1 - 90%,"110 S. Main Street
Ventura, Iowa 504820018
(43.12835915, -93.477737814)"
2004,Math,4,2457,George-Little Rock,30.0,36.0,83.3,80.1 - 90%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2004,Math,11,2846,Harris-Lake Park,14.0,15.0,93.3,90.1 - 100%,"905 South Market
Lake Park, Iowa 51347
(43.448198369, -95.323785409)"
2004,Reading,11,4725,Newton,164.0,211.0,77.7,70.1 - 80%,"700 N 4th Ave E Suite300
Newton, Iowa 50208
(41.70279757, -93.04416067)"
2004,Math,8,5049,Ottumwa,187.0,357.0,52.4,50.1 - 60%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2004,Math,8,540,BCLUW,35.0,50.0,70.0,60.1 - 70%,"610 East Center Street
Conrad, Iowa 50621
(42.224547032, -92.867233301)"
2004,Math,11,5049,Ottumwa,216.0,313.0,69.0,60.1 - 70%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2004,Reading,4,6471,Tripoli,28.0,36.0,77.8,70.1 - 80%,"209 8th Ave SW
Tripoli, Iowa 506769662
(42.801523631, -92.260465)"
2004,Math,8,355,Ar-We-Va,31.0,39.0,79.5,70.1 - 80%,"108 Clinton St
Westside, Iowa 51467
(42.075192007, -95.100777451)"
2004,Reading,4,5724,Ruthven-Ayrshire,13.0,13.0,100.0,90.1 - 100%,"1505 Washington St
Ruthven, Iowa 51358
(43.131108351, -94.899973418)"
2004,Math,4,4773,Northeast,34.0,43.0,79.1,70.1 - 80%,"1450 370th Ave
Goose Lake, Iowa 52750
(41.967391117, -90.373692002)"
2004,Reading,11,153,Allison-Bristow,17.0,23.0,73.9,70.1 - 80%,"513 Birch
Allison, Iowa 50602
(42.755548739, -92.800357426)"
2004,Reading,11,2556,Graettinger,19.0,22.0,86.4,80.1 - 90%,"400 W Lost Island St
Graettinger, Iowa 513420058
(43.236809139, -94.754521295)"
2004,Reading,4,2772,Hamburg,13.0,15.0,86.7,80.1 - 90%,"105 E St
Hamburg, Iowa 51640
(40.604677609, -95.659705573)"
2004,Math,11,7110,Woodward-Granger,39.0,54.0,72.2,70.1 - 80%,"306 W 3rd St
Woodward, Iowa 50276
(41.855671951, -93.925557162)"
2004,Reading,4,3600,Le Mars,120.0,148.0,81.1,80.1 - 90%,"940 Lincoln Street SW
Le Mars, Iowa 51031
(42.781304542001, -96.181023216)"
2004,Math,11,4023,Manson Northwest Webster,62.0,78.0,79.5,70.1 - 80%,"1016 Main Street
Manson, Iowa 505630387
(42.52976027, -94.534288056)"
2004,Math,4,2682,GMG,36.0,39.0,92.3,90.1 - 100%,"306 Park Street
Garwin, Iowa 506329730
(42.094686311, -92.674180263)"
2004,Reading,8,6460,Tri-Center,55.0,74.0,74.3,70.1 - 80%,"33980 310th Street
Neola, Iowa 515595183
(41.504274393, -95.594185677)"
2004,Math,8,6592,Van Buren,48.0,56.0,85.7,80.1 - 90%,"405 4th Street
Keosauqua, Iowa 52565
(40.730522915, -91.966792153)"
2004,Reading,4,1791,Dike-New Hartford,47.0,57.0,82.5,80.1 - 90%,"330 Main St
Dike, Iowa 50624
(42.466920106, -92.628130775)"
2004,Math,8,3195,Jefferson-Scranton,58.0,71.0,81.7,80.1 - 90%,"204 W Madison Ave
Jefferson, Iowa 50129
(42.012317749, -94.377120273)"
2004,Math,11,4761,Nora Springs-Rock Falls,33.0,33.0,100.0,90.1 - 100%,"509 N Iowa Ave
Nora Springs, Iowa 504580367
(43.147392844, -93.004372444)"
2004,Math,11,5166,Pella,120.0,132.0,90.9,90.1 - 100%,"210 E University St
Pella, Iowa 50219
(41.40024356, -92.903888016)"
2004,Math,8,1080,Central,33.0,51.0,64.7,60.1 - 70%,"400 1st Street NW
Elkader, Iowa 52043
(42.856201646001, -91.407684887)"
2004,Math,4,4212,Melcher-Dallas,17.0,19.0,89.5,80.1 - 90%,"214 S Main
Melcher, Iowa 50163
(41.223068663, -93.241824355)"
2004,Reading,11,7047,Winfield-Mt Union,22.0,33.0,66.7,60.1 - 70%,"208 S Olive
Winfield, Iowa 526590285
(41.126881357, -91.439346674)"
2004,Math,4,1211,Clarke,69.0,93.0,74.2,70.1 - 80%,"802 North Jackson
Osceola, Iowa 50213
(41.040554858, -93.76950396)"
2004,Math,4,1337,College,228.0,271.0,84.1,80.1 - 90%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2004,Math,11,3119,Interstate 35,39.0,49.0,79.6,70.1 - 80%,"405 E North St
Truro, Iowa 50257
(41.20994604, -93.842699709)"
2004,Reading,11,6099,South O'Brien,58.0,68.0,85.3,80.1 - 90%,"216 S Rutledge
Paullina, Iowa 510460638
(42.97754916, -95.689147054)"
2004,Math,11,1989,Edgewood-Colesburg,29.0,35.0,82.9,80.1 - 90%,"403 W Union
Edgewood, Iowa 52042
(42.644465473, -91.404854771)"
2004,Reading,11,108,Alden,14.0,21.0,66.7,60.1 - 70%,"209 Center Street
Alden, Iowa 50006
(42.517963208, -93.372751113)"
2004,Reading,11,4131,Mason City,254.0,322.0,78.9,70.1 - 80%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753, -93.198492687)"
2004,Math,11,6854,Wayne,27.0,48.0,56.3,50.1 - 60%,"102 N Dekalb Street
Corydon, Iowa 50060
(40.757883329, -93.320404615)"
2004,Math,11,2088,Emmetsburg,55.0,60.0,91.7,90.1 - 100%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174, -94.691408595)"
2004,Reading,4,4033,Maple Valley,20.0,32.0,62.5,60.1 - 70%,"501 S 7th St
Mapleton, Iowa 51034
(42.160984373, -95.78888641)"
2004,Math,8,6460,Tri-Center,56.0,74.0,75.7,70.1 - 80%,"33980 310th Street
Neola, Iowa 515595183
(41.504274393, -95.594185677)"
2004,Reading,11,6030,Sioux Center,74.0,83.0,89.2,80.1 - 90%,"550 9th St NE
Sioux Center, Iowa 51250
(43.086406873001, -96.168600466)"
2004,Reading,4,2457,George-Little Rock,31.0,36.0,86.1,80.1 - 90%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2004,Reading,8,2511,Glenwood,107.0,145.0,73.8,70.1 - 80%,"103 Central St
Glenwood, Iowa 51534
(41.039937216, -95.737418969)"
2004,Math,4,2766,H-L-V,21.0,23.0,91.3,90.1 - 100%,"402 5th St
Victor, Iowa 52347
(41.729652987, -92.293241156)"
2004,Math,4,441,A-H-S-T,24.0,36.0,66.7,60.1 - 70%,"768 South Maple Street
Avoca, Iowa 51521
(41.470851307, -95.341037428)"
2004,Math,4,720,Bondurant-Farrar,69.0,84.0,82.1,80.1 - 90%,"300 Garfield St. SW
Bondurant, Iowa 50035
(41.699149446, -93.464627151)"
2004,Reading,4,6273,Sumner,29.0,41.0,70.7,70.1 - 80%,"802 West Sixth Street
Sumner, Iowa 50674
(42.852486751, -92.107530701)"
2004,Math,8,333,Armstrong-Ringsted,32.0,40.0,80.0,70.1 - 80%,"600 4th Ave
Armstrong, Iowa 50514
(43.398390173, -94.480124267)"
2004,Reading,11,4356,Missouri Valley,60.0,68.0,88.2,80.1 - 90%,"109 East Michigan Street
Missouri Valley, Iowa 51555
(41.559428362, -95.894151136)"
2004,Math,11,2511,Glenwood,97.0,128.0,75.8,70.1 - 80%,"103 Central St
Glenwood, Iowa 51534
(41.039937216, -95.737418969)"
2004,Reading,11,6096,Southeast Webster,43.0,50.0,86.0,80.1 - 90%,"30850 Paragon Ave.
Burnside, Iowa 505210049
(42.346984258, -94.106637381)"
2004,Math,11,7092,Woodbine,42.0,53.0,79.2,70.1 - 80%,"501 Weare St
Woodbine, Iowa 51579
(41.737231207, -95.706557351)"
2004,Reading,8,2457,George-Little Rock,32.0,46.0,69.6,60.1 - 70%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2004,Reading,11,5160,PCM,44.0,64.0,68.8,60.1 - 70%,"400 E Hwy 163
Monroe, Iowa 50170
(41.516807129, -93.098919286)"
2004,Math,11,1791,Dike-New Hartford,44.0,63.0,69.8,60.1 - 70%,"330 Main St
Dike, Iowa 50624
(42.466920106, -92.628130775)"
2004,Reading,8,1093,Central Decatur,23.0,37.0,62.2,60.1 - 70%,"1201 NE Poplar
Leon, Iowa 501441246
(40.748150523, -93.7430749)"
2004,Reading,8,1211,Clarke,71.0,112.0,63.4,60.1 - 70%,"802 North Jackson
Osceola, Iowa 50213
(41.040554858, -93.76950396)"
2004,Reading,11,1908,Dunkerton,15.0,25.0,60.0,50.1 - 60%,"509 Canfield
Dunkerton, Iowa 506260308
(42.570421363, -92.16073953)"
2004,Math,8,2502,Gladbrook-Reinbeck,59.0,68.0,86.8,80.1 - 90%,"300 Cedar Street
Reinbeck, Iowa 50669
(42.318498668, -92.599634434)"
2004,Reading,8,5823,Schaller-Crestland,29.0,40.0,72.5,70.1 - 80%,"300 S Berwick
Schaller, Iowa 51053
(42.498044213, -95.296475832)"
2004,Reading,11,1611,Davenport,655.0,972.0,67.4,60.1 - 70%,"1606 Brady St
Davenport, Iowa 52803
(41.536181077, -90.574097107)"
2004,Reading,4,2766,H-L-V,18.0,23.0,78.3,70.1 - 80%,"402 5th St
Victor, Iowa 52347
(41.729652987, -92.293241156)"
2004,Math,8,1079,Central Lee,48.0,77.0,62.3,60.1 - 70%,"2642 Highway 218
Donnellson, Iowa 52625
(40.577481452, -91.521042214)"
2004,Math,4,3420,Lake Mills,42.0,51.0,82.4,80.1 - 90%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
2004,Math,11,3231,Johnston,257.0,288.0,89.2,80.1 - 90%,"5608 Merle Hay Road
Johnston, Iowa 50131
(41.662290255, -93.697797138)"
2004,Reading,11,3420,Lake Mills,41.0,45.0,91.1,90.1 - 100%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
