School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2015,Reading,8,18,Adair-Casey,13.0,22.0,59.1,50.1 - 60%,
2015,Reading,3,3168,IKM-Manning,39.0,45.0,86.7,80.1 - 90%,
2015,Reading,11,18,Adair-Casey,18.0,25.0,72.0,70.1 - 80%,
2015,Reading,4,3168,IKM-Manning,34.0,40.0,85.0,80.1 - 90%,
2015,Reading,5,720,Bondurant-Farrar,98.0,115.0,85.2,80.1 - 90%,
2015,Reading,3,27,Adel DeSoto Minburn,107.0,125.0,85.6,80.1 - 90%,
2015,Reading,4,27,Adel DeSoto Minburn,106.0,116.0,91.4,90.1 - 100%,
2015,Reading,5,27,Adel DeSoto Minburn,88.0,94.0,93.6,90.1 - 100%,
2015,Reading,6,720,Bondurant-Farrar,103.0,128.0,80.5,80.1 - 90%,
2015,Reading,6,27,Adel DeSoto Minburn,99.0,113.0,87.6,80.1 - 90%,
2015,Reading,7,27,Adel DeSoto Minburn,96.0,112.0,85.7,80.1 - 90%,
2015,Reading,8,27,Adel DeSoto Minburn,98.0,106.0,92.5,90.1 - 100%,
2015,Reading,5,3168,IKM-Manning,45.0,51.0,88.2,80.1 - 90%,
2015,Reading,11,27,Adel DeSoto Minburn,95.0,105.0,90.5,90.1 - 100%,
2015,Reading,7,720,Bondurant-Farrar,105.0,120.0,87.5,80.1 - 90%,
2015,Reading,6,3168,IKM-Manning,31.0,41.0,75.6,70.1 - 80%,
2015,Reading,3,63,Akron Westfield,35.0,38.0,92.1,90.1 - 100%,
2015,Reading,8,720,Bondurant-Farrar,101.0,117.0,86.3,80.1 - 90%,
2015,Reading,4,63,Akron Westfield,27.0,35.0,77.1,70.1 - 80%,
2015,Reading,7,3168,IKM-Manning,36.0,39.0,92.3,90.1 - 100%,
2015,Reading,5,63,Akron Westfield,28.0,31.0,90.3,90.1 - 100%,
2015,Reading,6,63,Akron Westfield,21.0,29.0,72.4,70.1 - 80%,
2015,Reading,7,63,Akron Westfield,28.0,38.0,73.7,70.1 - 80%,
2015,Reading,11,720,Bondurant-Farrar,89.0,105.0,84.8,80.1 - 90%,
2015,Reading,8,63,Akron Westfield,21.0,27.0,77.8,70.1 - 80%,
2015,Reading,11,63,Akron Westfield,28.0,30.0,93.3,90.1 - 100%,
2015,Reading,3,729,Boone,98.0,130.0,75.4,70.1 - 80%,
2015,Reading,5,153,North Butler,36.0,44.0,81.8,80.1 - 90%,
2015,Reading,4,729,Boone,99.0,108.0,91.7,90.1 - 100%,
2015,Reading,6,153,North Butler,30.0,35.0,85.7,80.1 - 90%,
2015,Reading,5,729,Boone,92.0,112.0,82.1,80.1 - 90%,
2015,Reading,7,153,North Butler,26.0,35.0,74.3,70.1 - 80%,
2015,Reading,8,153,North Butler,36.0,45.0,80.0,70.1 - 80%,
2015,Reading,6,729,Boone,104.0,125.0,83.2,80.1 - 90%,
2015,Reading,11,153,North Butler,39.0,46.0,84.8,80.1 - 90%,
2015,Reading,7,729,Boone,102.0,140.0,72.9,70.1 - 80%,
2015,Reading,3,171,Alta,30.0,37.0,81.1,80.1 - 90%,
2015,Reading,8,729,Boone,106.0,136.0,77.9,70.1 - 80%,
2015,Reading,4,171,Alta,25.0,38.0,65.8,60.1 - 70%,
2015,Reading,11,729,Boone,132.0,156.0,84.6,80.1 - 90%,
2015,Reading,5,171,Alta,24.0,33.0,72.7,70.1 - 80%,
2015,Reading,3,747,Boyden-Hull,45.0,47.0,95.7,90.1 - 100%,
2015,Reading,6,171,Alta,0.0,0.0,0.0,Not Reportable,
2015,Reading,7,171,Alta,0.0,0.0,0.0,Not Reportable,
2015,Reading,4,747,Boyden-Hull,43.0,45.0,95.6,90.1 - 100%,
2015,Reading,8,171,Alta,0.0,0.0,0.0,Not Reportable,
2015,Reading,11,171,Alta,46.0,52.0,88.5,80.1 - 90%,
2015,Reading,8,1449,Corwith-Wesley,8.0,10.0,80.0,70.1 - 80%,
2015,Reading,3,225,Ames,228.0,255.0,89.4,80.1 - 90%,
2015,Reading,4,225,Ames,220.0,247.0,89.1,80.1 - 90%,
2015,Reading,5,225,Ames,265.0,304.0,87.2,80.1 - 90%,
2015,Reading,6,916,CAL,8.0,17.0,47.1,40.1 - 50%,
2015,Reading,6,225,Ames,214.0,246.0,87.0,80.1 - 90%,
2015,Reading,11,999,Carroll,106.0,108.0,98.1,90.1 - 100%,
2015,Reading,7,225,Ames,250.0,279.0,89.6,80.1 - 90%,
2015,Reading,3,1476,Council Bluffs,390.0,626.0,62.3,60.1 - 70%,
2015,Reading,4,1476,Council Bluffs,402.0,602.0,66.8,60.1 - 70%,
2015,Reading,8,225,Ames,243.0,285.0,85.3,80.1 - 90%,
2015,Reading,11,225,Ames,237.0,264.0,89.8,80.1 - 90%,
2015,Reading,8,3168,IKM-Manning,48.0,54.0,88.9,80.1 - 90%,
2015,Reading,11,3168,IKM-Manning,45.0,49.0,91.8,90.1 - 100%,
2015,Reading,3,234,Anamosa,60.0,79.0,75.9,70.1 - 80%,
2015,Reading,7,3420,Lake Mills,40.0,48.0,83.3,80.1 - 90%,
2015,Reading,5,1476,Council Bluffs,370.0,541.0,68.4,60.1 - 70%,
2015,Reading,4,234,Anamosa,58.0,75.0,77.3,70.1 - 80%,
2015,Reading,6,1476,Council Bluffs,397.0,584.0,68.0,60.1 - 70%,
2015,Reading,8,3420,Lake Mills,28.0,36.0,77.8,70.1 - 80%,
2015,Reading,5,234,Anamosa,57.0,75.0,76.0,70.1 - 80%,
2015,Reading,11,3420,Lake Mills,38.0,44.0,86.4,80.1 - 90%,
2015,Reading,6,234,Anamosa,51.0,78.0,65.4,60.1 - 70%,
2015,Reading,7,234,Anamosa,75.0,97.0,77.3,70.1 - 80%,
2015,Reading,8,234,Anamosa,74.0,91.0,81.3,80.1 - 90%,
2015,Reading,7,1476,Council Bluffs,410.0,571.0,71.8,70.1 - 80%,
2015,Reading,8,1476,Council Bluffs,356.0,520.0,68.5,60.1 - 70%,
2015,Reading,11,234,Anamosa,73.0,92.0,79.3,70.1 - 80%,
2015,Reading,11,1476,Council Bluffs,348.0,499.0,69.7,60.1 - 70%,
2015,Reading,3,1503,Creston,68.0,96.0,70.8,70.1 - 80%,
2015,Reading,4,1503,Creston,80.0,102.0,78.4,70.1 - 80%,
2015,Reading,5,1503,Creston,59.0,84.0,70.2,70.1 - 80%,
2015,Reading,3,243,Andrew,12.0,17.0,70.6,70.1 - 80%,
2015,Reading,6,1503,Creston,72.0,97.0,74.2,70.1 - 80%,
2015,Reading,4,243,Andrew,9.0,10.0,90.0,80.1 - 90%,
2015,Reading,7,1503,Creston,54.0,82.0,65.9,60.1 - 70%,
2015,Reading,5,243,Andrew,17.0,19.0,89.5,80.1 - 90%,
2015,Reading,8,1503,Creston,65.0,82.0,79.3,70.1 - 80%,
2015,Reading,6,243,Andrew,8.0,14.0,57.1,50.1 - 60%,
2015,Reading,11,1503,Creston,104.0,120.0,86.7,80.1 - 90%,
2015,Reading,7,243,Andrew,17.0,19.0,89.5,80.1 - 90%,
2015,Reading,8,243,Andrew,10.0,15.0,66.7,60.1 - 70%,
2015,Reading,11,243,Andrew,0.0,0.0,0.0,Not Reportable,
