School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2010,Math,11,6741,Wall Lake View Auburn,56.0,73.0,76.7,70.1 - 80%,"801 Jackson
Lake View, Iowa 51450
(42.309577099, -95.055388227)"
2010,Math,4,4878,Ogden,40.0,44.0,90.9,90.1 - 100%,"732 W Division
Ogden, Iowa 502120250
(42.034567065, -94.036676207)"
2010,Math,8,1975,River Valley,19.0,24.0,79.2,70.1 - 80%,"916 Hackberry St
Correctionville, Iowa 510160008
(42.479931109, -95.780794924)"
2010,Math,11,4131,Mason City,194.0,255.0,76.1,70.1 - 80%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753, -93.198492687)"
2010,Math,4,7002,Whiting,13.0,14.0,92.9,90.1 - 100%,"606 West St
Whiting, Iowa 51063
(42.127623791, -96.155641786)"
2010,Reading,8,5697,Rudd-Rockford-Marble Rk,24.0,34.0,70.6,70.1 - 80%,"1460 210th Street
Rockford, Iowa 504680218
(43.052034686, -92.915467057)"
2010,Reading,11,1197,Clarinda,54.0,67.0,80.6,80.1 - 90%,"423 E. Nodaway
Clarinda, Iowa 51632
(40.743076415, -95.033335837)"
2010,Reading,8,3744,Lisbon,36.0,44.0,81.8,80.1 - 90%,"235 W School St
Lisbon, Iowa 522530839
(41.919553303001, -91.388930888)"
2010,Reading,8,3154,Iowa Valley,33.0,56.0,58.9,50.1 - 60%,"359 E Hilton St
Marengo, Iowa 52301
(41.798598129, -92.066585859)"
2010,Reading,5,1863,Dubuque,572.0,719.0,79.6,70.1 - 80%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923, -90.706179714)"
2010,Math,3,2169,Fairfield,92.0,114.0,80.7,80.1 - 90%,"403 South 20th Street
Fairfield, Iowa 52556
(41.003551228, -91.984202155)"
2010,Math,3,6099,South O'Brien,26.0,32.0,81.3,80.1 - 90%,"216 S Rutledge
Paullina, Iowa 510460638
(42.97754916, -95.689147054)"
2010,Reading,8,4776,North Mahaska,30.0,40.0,75.0,70.1 - 80%,"2163 135th St
New Sharon, Iowa 502070089
(41.458931622, -92.649667528)"
