School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2007,Math,6,6101,Southeast Polk,278.0,352.0,79.0,70.1 - 80%,"8379 NE University Ave
Pleasant Hill, Iowa 50327
(41.600356215, -93.434241935)"
2007,Math,11,4437,Montezuma,34.0,43.0,79.1,70.1 - 80%,"504 N 4th St
Montezuma, Iowa 50171
(41.591280888, -92.5235874)"
2007,Reading,3,472,Ballard,82.0,101.0,81.2,80.1 - 90%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.897429491, -93.606247195)"
2007,Math,11,5121,Panorama,43.0,49.0,87.8,80.1 - 90%,"701 W Main
Panora, Iowa 50216
(41.691569911001, -94.374259674)"
2007,Reading,3,6516,Twin Rivers,13.0,14.0,92.9,90.1 - 100%,"200 College Ave
Bode, Iowa 50519
(42.867272478, -94.28957849)"
2007,Reading,6,270,Anthon-Oto,43.0,53.0,81.1,80.1 - 90%,"110 W Division
Anthon, Iowa 510040819
(42.385483794, -95.868360143)"
2007,Math,4,2682,GMG,25.0,28.0,89.3,80.1 - 90%,"306 Park Street
Garwin, Iowa 506329730
(42.094686311, -92.674180263)"
2007,Math,4,5625,Rockwell City-Lytton,34.0,38.0,89.5,80.1 - 90%,"1000 Tonawanda Avenue
Rockwell City, Iowa 50579
(42.391507193, -94.646349767)"
2007,Reading,6,1737,Des Moines,1017.0,1930.0,52.7,50.1 - 60%,"901 Walnut Street
Des Moines, Iowa 50309
(41.584997496, -93.62919604)"
2007,Reading,4,4491,Moravia,12.0,14.0,85.7,80.1 - 90%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017, -92.818025664)"
2007,Math,4,3942,Madrid,34.0,43.0,79.1,70.1 - 80%,"201 N. Main
Madrid, Iowa 50156
(41.877793971, -93.822980389)"
2007,Math,8,3119,Interstate 35,54.0,67.0,80.6,80.1 - 90%,"405 E North St
Truro, Iowa 50257
(41.20994604, -93.842699709)"
2007,Reading,3,1638,Decorah,92.0,104.0,88.5,80.1 - 90%,"510 Winnebago Street
Decorah, Iowa 52101
(43.300473668, -91.78708747)"
2007,Math,8,4860,Odebolt-Arthur,21.0,23.0,91.3,90.1 - 100%,"600 S. Maple
Odebolt, Iowa 514580475
(42.310292609001, -95.251885669)"
2007,Math,3,2834,Harmony,16.0,27.0,59.3,50.1 - 60%,"602 Eighth Street
Bonaparte, Iowa 52620
(40.704120087, -91.800954708)"
2007,Reading,8,4491,Moravia,21.0,25.0,84.0,80.1 - 90%,"505 N Trussell St
Moravia, Iowa 52571
(40.89445017, -92.818025664)"
2007,Reading,11,6095,South Hamilton,49.0,54.0,90.7,90.1 - 100%,"315 Division St
Jewell, Iowa 50130
(42.302508521, -93.644936609)"
2007,Math,6,4878,Ogden,44.0,57.0,77.2,70.1 - 80%,"732 W Division
Ogden, Iowa 502120250
(42.034567065, -94.036676207)"
2007,Reading,6,7002,Whiting,10.0,15.0,66.7,60.1 - 70%,"606 West St
Whiting, Iowa 51063
(42.127623791, -96.155641786)"
2007,Math,7,4505,Mormon Trail,18.0,22.0,81.8,80.1 - 90%,"403 S Front St
Humeston, Iowa 50123
(40.857861428, -93.49945448)"
2007,Reading,7,3645,Lewis Central,117.0,194.0,60.3,60.1 - 70%,"4121 Harry Langdon Blvd
Council Bluffs, Iowa 51503
(41.220978391, -95.818439144)"
2007,Math,7,4788,Northwood-Kensett,33.0,41.0,80.5,80.1 - 90%,"1200 1st Ave North
Northwood, Iowa 504590289
(43.445177694, -93.215725247)"
2007,Math,7,1350,Collins-Maxwell,32.0,39.0,82.1,80.1 - 90%,"400 Metcalf
Maxwell, Iowa 50161
(41.890831616, -93.396984123)"
2007,Math,11,4068,Marcus-Meriden-Cleghorn,38.0,45.0,84.4,80.1 - 90%,"400 East Fenton
Marcus, Iowa 51035
(42.819017914, -95.804163971)"
2007,Reading,7,4878,Ogden,43.0,56.0,76.8,70.1 - 80%,"732 W Division
Ogden, Iowa 502120250
(42.034567065, -94.036676207)"
2007,Reading,7,1576,Dallas Center-Grimes,88.0,98.0,89.8,80.1 - 90%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.684340466, -93.961457206)"
2007,Math,6,2088,Emmetsburg,38.0,42.0,90.5,90.1 - 100%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174, -94.691408595)"
2007,Reading,3,594,Belmond-Klemme,32.0,44.0,72.7,70.1 - 80%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.848954097001, -93.603450386)"
2007,Reading,7,1963,East Buchanan,22.0,32.0,68.8,60.1 - 70%,"414 5th St North
Winthrop, Iowa 50682
(42.475879754, -91.736862672)"
2007,Math,11,1503,Creston,80.0,111.0,72.1,70.1 - 80%,"801 N. Elm Street
Creston, Iowa 50801
(41.066193306, -94.363810291)"
2007,Reading,4,3105,Independence,75.0,90.0,83.3,80.1 - 90%,"1207 1st St W
Independence, Iowa 50644
(42.468517757, -91.907844879)"
2007,Math,3,4581,Muscatine,286.0,321.0,89.1,80.1 - 90%,"2900 Mulberry Avenue
Muscatine, Iowa 52761
(41.443603299, -91.067961636)"
2007,Reading,8,3154,Iowa Valley,33.0,47.0,70.2,70.1 - 80%,"359 E Hilton St
Marengo, Iowa 52301
(41.798598129, -92.066585859)"
2007,Reading,11,6937,West Burlington,42.0,50.0,84.0,80.1 - 90%,"607 Ramsey St
West Burlington, Iowa 52655
(40.820228036, -91.159167305)"
2007,Math,3,4779,North Polk,66.0,74.0,89.2,80.1 - 90%,"13930 NE 6th St
Alleman, Iowa 50007
(41.805870727, -93.610359303)"
2007,Reading,5,504,Battle Creek-Ida Grove,43.0,52.0,82.7,80.1 - 90%,"900 John Montgomery Dr
Ida Grove, Iowa 51445
(42.335841611, -95.463490416)"
2007,Reading,11,7047,Winfield-Mt Union,30.0,35.0,85.7,80.1 - 90%,"208 S Olive
Winfield, Iowa 526590285
(41.126881357, -91.439346674)"
2007,Reading,5,1908,Dunkerton,25.0,27.0,92.6,90.1 - 100%,"509 Canfield
Dunkerton, Iowa 506260308
(42.570421363, -92.16073953)"
2007,Reading,6,6957,West Des Moines,441.0,568.0,77.6,70.1 - 80%,"3550 Mills Civic Parkway
West Des Moines, Iowa 50265
(41.567672939, -93.75682047)"
2007,Math,8,2673,Nodaway Valley,43.0,52.0,82.7,80.1 - 90%,"410 NW 2nd
Greenfield, Iowa 50849
(41.308043141001, -94.462689109)"
2007,Math,6,6992,Westwood,42.0,62.0,67.7,60.1 - 70%,"1000 Rebel Way
Sloan, Iowa 51055
(42.228917062, -96.217814827)"
2007,Math,8,6003,Sidney,20.0,26.0,76.9,70.1 - 80%,"2754 Knox Road
Sidney, Iowa 516520609
(40.743255674, -95.660253541)"
2007,Math,7,5877,Sergeant Bluff-Luton,83.0,101.0,82.2,80.1 - 90%,"201 Port Neal Road
Sergeant Bluff, Iowa 51054
(42.398882789, -96.355522509)"
2007,Math,6,882,Burlington,171.0,265.0,64.5,60.1 - 70%,"1429 West Ave
Burlington, Iowa 52601
(40.799648151001, -91.115081638)"
2007,Math,4,3312,Keokuk,103.0,147.0,70.1,70.1 - 80%,"1721 Fulton St
Keokuk, Iowa 52632
(40.408591789, -91.388112888)"
2007,Math,11,2556,Graettinger,22.0,27.0,81.5,80.1 - 90%,"400 W Lost Island St
Graettinger, Iowa 513420058
(43.236809139, -94.754521295)"
2007,Math,8,5049,Ottumwa,236.0,325.0,72.6,70.1 - 80%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2007,Reading,5,1675,Delwood,14.0,17.0,82.4,80.1 - 90%,"311 Delmar Ave
Delmar, Iowa 52037
(42.003439992, -90.605912868)"
2007,Reading,5,6101,Southeast Polk,323.0,382.0,84.6,80.1 - 90%,"8379 NE University Ave
Pleasant Hill, Iowa 50327
(41.600356215, -93.434241935)"
2007,Math,3,4662,New Hampton,53.0,69.0,76.8,70.1 - 80%,"710 W Main
New Hampton, Iowa 506591004
(43.059463053, -92.325916354)"
2007,Reading,5,999,Carroll,99.0,113.0,87.6,80.1 - 90%,"1026 N. Adams St
Carroll, Iowa 51401
(42.071095645, -94.866259295)"
2007,Reading,6,1233,Clear Lake,88.0,132.0,66.7,60.1 - 70%,"1529 3rd Avenue North
Clear Lake, Iowa 50428
(43.139871691, -93.3698995)"
2007,Reading,6,1602,Danville,29.0,42.0,69.1,60.1 - 70%,"419 S Main
Danville, Iowa 52623
(40.860760597, -91.314672134)"
2007,Reading,3,3420,Lake Mills,35.0,43.0,81.4,80.1 - 90%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
2007,Reading,11,4778,North Kossuth,12.0,20.0,60.0,50.1 - 60%,"203 5th Street North
Swea City, Iowa 50590
(43.383718628, -94.312397755)"
2007,Math,3,4775,Northeast Hamilton,13.0,14.0,92.9,90.1 - 100%,"606 Illinois St
Blairsburg, Iowa 50034
(42.480561718001, -93.639521298)"
2007,Math,7,1908,Dunkerton,32.0,35.0,91.4,90.1 - 100%,"509 Canfield
Dunkerton, Iowa 506260308
(42.570421363, -92.16073953)"
2007,Math,6,3465,Lamoni,17.0,26.0,65.4,60.1 - 70%,"202 N Walnut St
Lamoni, Iowa 50140
(40.622532216, -93.935606211)"
2007,Math,5,7098,Woodbury Central,39.0,53.0,73.6,70.1 - 80%,"408 South 4th Street
Moville, Iowa 51039
(42.484313339, -96.06924212)"
2007,Math,8,4784,North Scott,176.0,222.0,79.3,70.1 - 80%,"251 E Iowa St
Eldridge, Iowa 52748
(41.652613393, -90.580280251)"
2007,Math,3,1211,Clarke,55.0,86.0,64.0,60.1 - 70%,"802 North Jackson
Osceola, Iowa 50213
(41.040554858, -93.76950396)"
2007,Math,5,4775,Northeast Hamilton,20.0,23.0,87.0,80.1 - 90%,"606 Illinois St
Blairsburg, Iowa 50034
(42.480561718001, -93.639521298)"
